1 2 4.102978
2 3 -1.592639
3 4 -1.520696
4 5 -4.247271
5 6 0.732631
6 7 -0.896175
7 8 6.498504
8 9 -2.832863
9 10 0.583469
10 11 -5.444443
11 12 7.019106
12 13 -0.911889
13 14 -5.261148
14 15 -0.389960
15 16 -0.288217
16 17 1.892841
17 18 1.757365
18 19 -1.271347
19 20 -0.714455
2 6 -6.968180
10 4 -0.765994
8 14 -4.789816
8 16 -5.330430
13 9 -1.029735
15 13 4.866480
11 19 3.596722
17 8 4.942637
5 10 4.793930
7 9 3.896084
5 3 4.551809
12 8 -0.600927
3 1 -3.701774
5 14 2.136712
15 10 3.749785
13 19 -3.160457
20 4 2.309931
